target,run,model,family,alpha,beta,edge_rmse,interior_rmse,left_edge_rmse,right_edge_rmse,edge_sd,prior_sd_x1,lml
vanishing,A,jacobi,Legendre,0.0,0.0,0.5695737585635985,0.022342604571195933,0.3677379735590561,0.513609394476923,2.2130651433283735,5.040756591256886,27.658456307801202
vanishing,B,jacobi,Chebyshev-II,0.5,0.5,1.0425252339340325,0.026603210120121113,0.8239712629955508,1.389853715371276,3.8196504903772337,9.841799756850477,26.40243148377823
vanishing,C,jacobi,Chebyshev-I,-0.5,-0.5,0.30790282104283445,0.019399726609453015,0.15666032604507021,0.13704934370273475,1.1648325192498965,2.1573751270118997,28.906638599766254
vanishing,D,jacobi,Dirichlet,-0.9,-0.9,0.1804250423340742,0.01792328281827045,0.06958185796130514,0.029619911481405838,0.6165638543810978,0.7477260811054279,29.882054293522785
vanishing,E,jacobi,asymmetric,-0.8,0.8,1.8133165302045957,0.03889822280922718,2.147988634273732,0.0150282970365406,5.571367432083445,12.216400929035728,28.590141394758078
vanishing,R,rbf,RBF-GP,-,-,0.3341791728191546,0.017495969489014822,0.5595601719253356,0.08456603525173571,,,34.853227545210586
layer,A,jacobi,Legendre,0.0,0.0,0.23326040168594664,0.01707555321047508,0.42883437369151767,0.07809467004077106,0.6285240599629017,2.2364705614590954,49.068609480065476
layer,B,jacobi,Chebyshev-II,0.5,0.5,0.2116338183396214,0.017138623173776485,0.3747375169518129,0.03503543368235535,0.7908108870406859,3.2551193540057426,48.393648059028166
layer,C,jacobi,Chebyshev-I,-0.5,-0.5,0.2776837183632375,0.01705420804558784,0.5051090553469585,0.24214902083753662,0.4531752430305112,1.40379297013849,49.72735662969521
layer,D,jacobi,Dirichlet,-0.9,-0.9,0.3721182177018426,0.01716062751835921,0.5837752866189462,0.5934011501826821,0.2718105365210885,0.6968542512630339,50.121365333282796
layer,E,jacobi,asymmetric,-0.8,0.8,0.2694215916329493,0.01714312238351388,0.15391715351791319,0.5749052780605406,1.005723137267395,5.71025295887717,47.440093915145624
layer,R,rbf,RBF-GP,-,-,0.04788901033814011,0.015082319047742154,0.03291662755367589,0.01862107666663906,,,50.308458997094135
